"species","long","lat"
"Larus.fuscus",18.318787,59.30991
"Larus.fuscus",12.618599,56.110282
"Larus.fuscus",12.427455,56.979506
"Larus.fuscus",18.127688,59.248168
"Larus.fuscus",11.835016,57.934178
"Larus.fuscus",14.075954,58.976508
"Larus.fuscus",12.361753,56.92204
"Larus.fuscus",11.791044,57.700806
"Larus.fuscus",16.396778,56.269282
"Larus.fuscus",12.309785,57.028808
"Larus.fuscus",17.934074,58.906025
"Larus.fuscus",11.575511,58.002187
"Larus.fuscus",12.361753,56.92204
"Larus.fuscus",11.907484,57.634187
"Larus.fuscus",13.160517,55.497197
"Larus.fuscus",11.920859,58.226162
"Larus.fuscus",12.734841,56.47064
"Larus.fuscus",11.933939,57.473924
"Larus.fuscus",12.494299,57.935413
"Larus.fuscus",11.951465,57.688347
"Larus.fuscus",11.785483,57.92865
"Larus.fuscus",12.849044,56.658293
"Larus.fuscus",11.942473,57.690234
